produto_comercial,empresa,ingrediente_2,ingrediente
Atrazina 500 SC Rainbow,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Atrazina (triazina),atrazina (triazina)
Atrazina Agro Import,Agro Import do Brasil Ltda.,Atrazina (triazina),atrazina (triazina)
Atrazina CCAB 500 SC,CCAB Agro S.A. – Sao Paulo,Atrazina (triazina),atrazina (triazina)
Atrazina Fersol 500 SC,Ameribras Indústria e Comércio Ltda.,Atrazina (triazina),atrazina (triazina)
Atrazina Max Nortox,Nortox S.A. - Arapongas,Atrazina (triazina),atrazina (triazina)
Atrazina Nortox 500 SC,Nortox S.A. - Arapongas,Atrazina (triazina),atrazina (triazina)
Atrazina SD 500 SC,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,Atrazina (triazina),atrazina (triazina)
Atulamina 806 SL,AllierBrasil Agro Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
AUG 103,Avgust Crop Protection Importação e Exportação Ltda.,clorimurom-etilico (sulfonilurea) and imazetapir (imidazolinona),clorimurom-etilico (sulfonilurea) and imazetapir (imidazolinona)
AUG 122,Avgust Crop Protection Importação e Exportação Ltda.,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
AUG 126,Avgust Crop Protection Importação e Exportação Ltda.,quizalofope-P-etilico (Acido ariloxifenoxipropionico),quizalofope-p-etilico (acido ariloxifenoxipropionico)
Aura,Basf S.A. – Sao Paulo,profoxidim (oxima ciclohexanodiona),profoxidim (oxima ciclohexanodiona)
Aura 200,Basf S.A. – Sao Paulo,profoxidim (oxima ciclohexanodiona),profoxidim (oxima ciclohexanodiona)
Aurora,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Aurora 400 EC,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Aval,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,tebutiurom (ureia),tebutiurom (ureia)
Aval 800,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,tebutiurom (ureia),tebutiurom (ureia)
Avguron Extra SC,Avgust Crop Protection Importação e Exportação Ltda.,diurom (ureia) and tidiazurom (ureia),diurom (ureia) and tidiazurom (ureia)
Baguera,Tradecorp do Brasil Comércio de insumos Agricolas Ltda,hexazinona (triazinona),hexazinona (triazinona)
Bakti-Pro 806 SL,AllierBrasil Agro Ltda.,"2,4_D amina (acido ariloxialcanoico)","2,4_d amina (acido ariloxialcanoico)"
Balance Prime,Bayer S.A. - Sao Paulo/ SP,isoxaflutol (isoxazol),isoxaflutol (isoxazol)
Baris,Lemma Agronegócios Importação e Exportação Ltda.,glifosato (glicina substituida),glifosato (glicina substituida)
Basagran 480,Basf S.A. – Sao Paulo,bentazona (benzotiadiazinona),bentazona (benzotiadiazinona)
Basagran 600,Basf S.A. – Sao Paulo,bentazona (benzotiadiazinona),bentazona (benzotiadiazinona)
Basamid,Mitsui & Co (Brasil) S.A.,dazomete (isotiocianato de metila (precursor de)),dazomete (isotiocianato de metila (precursor de))
Batalha 240 SL,BRA Defensivos Agricolas Ltda. (Piracicaba),picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Bellum 480 SC,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,Mesotriona (Tricetona),mesotriona (tricetona)
Bench,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Bimate SA,Proventis Lifescience Defensivos Agricolas Ltda,diurom (ureia) and tebutiurom (ureia),diurom (ureia) and tebutiurom (ureia)
Blast,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina),atrazina (triazina)
Blazer Sol,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Acifluorfem-sodico (eteretilica),acifluorfem-sodico (eteretilica)
Bleran,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Boral 500 SC,FMC Química do Brasil Ltda. - Campinas,sulfentrazona (triazolona),sulfentrazona (triazolona)
Boral Full,FMC Química do Brasil Ltda. - Campinas,sulfentrazona (triazolona) and tebutiurom (ureia),sulfentrazona (triazolona) and tebutiurom (ureia)
Braddock,Solus Industria Quimica Ltda.,Glifosato Sal de Dimetilamina (glicina substituida),glifosato sal de dimetilamina (glicina substituida)
Brion,CHDS do Brasil Comércio de Insumos Agricolas Ltda,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Broker 750 WG,Albaugh Agro Brasil Ltda.- Sao Paulo,hexazinona (triazinona),hexazinona (triazinona)
Bromex,Bequisa Indústria Química do Brasil Ltda.,brometo de metila (alifático halogenado),brometo de metila (alifático halogenado)
Browser,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Bunema 330 CS,Taminco do Brasil Produtos Químicos Ltda,Metam-sodico (isotiocianato de metila (precursor de)),metam-sodico (isotiocianato de metila (precursor de))
Butiron,Adama Brasil S.A. - Londrina,tebutiurom (ureia),tebutiurom (ureia)
Calaris,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina) and Mesotriona (Tricetona),atrazina (triazina) and mesotriona (tricetona)
Calipen SC,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina) and Mesotriona (Tricetona),atrazina (triazina) and mesotriona (tricetona)
Callisto,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Mesotriona (Tricetona),mesotriona (tricetona)
Camp-D,Prentiss Química Ltda. - Campo Largo/PR,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Campeon,Stockton Agrimor do Brasil Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
