id_herb	produto_comercial	empresa	ingrediente	link	registro	dose_(g/L)_(g/kg)	equivalente_acido	Formulacao	soja	soja_dessecação	soja_omg	soja_spd	milho	milho_ogm	milho_spd	algodão_spd	algodão_ogm	algodão	sorgo	algodão_ogm	café_spd	café	trigo_spd	trigo	gramíneas_forrageiras	arroz	arroz_sequeiro	arroz_irrig_spd	arroz_irrigado	arroz_spd	feijão	aveia_preta	Feijão_spd	feijão_vagem	feijão_fava	feijão_guandu	feijão_mungo	feijão_caupi	grão_de_bico	azevém	aveia	lentilha	cana_spd	cana_soca	cana_maturação	Cana_dessecação	cana_roughing	cana	aveia_preta	mandioca	pastagem_spd	pastagem	vazio_sanitário	manejo_outonal	amendoim	centeio	cevada	canola	abacaxi	citros	citros_spd	melão	eucalipto_implantação_da_flores	Eucalipto_Rebrote	eucalipto	pinus_implantação_da_flores	pinus	seringueira	acácia_negra	estrelicia	girassol	quiabo	tomate	alho	banana	cebola	cenoura	batata_dessecação	batata	alface	repolho	jiló	pimenta	pimentão	brocolis	couve-flor	beterraba	batata-doce	berinjela	batata-salsa	fumo	morango	camomila	gengibre	batata_yacon	alfafa	salsa	coentro	braquiaria	aveia	milheto	inhame	ervilha	sorgo	caju	goiaba	manga	mangaba	pera	uva	maçã	ameixa	mamão	melancia	pessego	nectarina	dendê	duboisia	triticale	crisântemo	centeio	cacau	não_agrícola	seringueira	escarola	sisal	côco	momona	caqui	açaí	cará	nabo	mandioquinha-salsa	carambola	rabanete	figo	castanha_do_pará	macadâmia	pinhão	noz_pecã	pupunha	gladíolo	vagem	área_de_pousio	área_não_cultivada	abacate	gramados	espinafre	manejo_outonal	rosa	todas_as_culturas_com_ocorrência_do_alvo_biológico	tabaco	tratamento_do_solo
363	Hexazinona Nortox	Nortox S.A. - Arapongas	hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/hexazinona-nortox_8162.html	1509	250		Concentrado Solúvel (SL)																																								x																																																																																																									
364	Hexazinona Nortox SL	Nortox S.A. - Arapongas	hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/hexazinona-nortox-sl_10504.html	30317	250		Concentrado Solúvel (SL)																																								x																																																																																																									
365	Hexazinone 250 SL BASE	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	hexazinona (triazinona)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/hexazinonedva250sl.pdf	16017	250		Concentrado Solúvel (SL)																																								x																																																																																																									
366	Hexazinone UPL 250 SL	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	hexazinona (triazinona)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/hexazinonedva250sl.pdf	12009	250		Concentrado Solúvel (SL)																																								x																																																																																																									
367	Hexazuron	Agro Import do Brasil Ltda.	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/hexazuron_10479.html	27517	468 + 132		Granulado Dispersível (WG)																																								x																																																																																																									
368	Hexicana	Nortox S.A. - Arapongas	hexazinona (triazinona)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/hexicana.pdf	1409	250		Concentrado Solúvel (SL)																																				x				x																																																																																																									
369	Hussar	Bayer S.A. - Sao Paulo/ SP	iodosulfurom-metilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/hussar_5722.html	1404	50		Granulado Dispersível (WG)																x		x																						x																																																																																																									
370	Imazaquim Ultra Nortox	Nortox S.A. - Arapongas	imazaquim (imidazolinona)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/IMAZAQUIM_ULTRA_NORTOX.pdf	3802	161	150	Concentrado Solúvel (SL)	x			x																																																																																																																																													
371	Imazet 70 WG	FMC Química do Brasil Ltda. - Campinas	imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/imazet-70-wg_8397.html	1310	700		Granulado Dispersível (WG)	x																																																																																																																																																
372	Imazetapir 106 BR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/imazetapir-106-br_8893.html	6613	106	100	Concentrado Solúvel (SL)	x																	x																										x																																																																																																					
373	Imazetapir CCAB 106 SL	CCAB Agro S.A. – Sao Paulo	imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/imazetapir-ccab-106-sl_8894.html	4713	106		Concentrado Solúvel (SL)	x																																																																																																																																																
374	Imazetapir Plus Nortox	Nortox S.A. - Arapongas	imazetapir (imidazolinona) + imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/imazetapir-plus-nortox_3614.html	1002	106	100	Concentrado Solúvel (SL)	x																	x																																																																																																																															
375	Imazetapir Prentiss	Prentiss Química Ltda. - Campo Largo/PR	imazetapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/imazetapir-prentiss_8020.html	7308	106		Concentrado Solúvel (SL)	x																																																																																																																																																
376	Intruder	Dow Agrosciences Industrial Ltda. - Sao Paulo	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/intruder_10064.html	7014	114,76 + 447,22		Concentrado Solúvel (SL)																																												x																																																																																																					
377	Invest	Basf S.A. – Sao Paulo	ciclossulfamurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/invest_2949.html	2698	700		Granulado Dispersível (WG)																		x																																																																																																																															
378	Irado 800 WG	Cropchem Ltda	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/irado-800-wg_11032.html	45519	800		Granulado Dispersível (WG)										x				x																										x											x	x																																																														x																															
379	Jacaré	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/jacare_8106.html	13808	76 + 289	64 + 240	Concentrado Solúvel (SL)																																								x				x																																																																																																					
380	Jaffa	Adama Brasil S.A. - Londrina	cletodim (oxima ciclohexanodiona)	https://www.agrolink.com.br/agrolinkfito/produto/jaffa_10972.html	32219	240		Concentrado Emulsionável (EC)	x				x					x				x		x							x																			x																					x		x	x		x	x		x												x																			x	x			x																																							
381	Jaguar	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/jaguar_7652.html	13307	76,9 + 596,9	40 + 320	Concentrado Solúvel (SL)																																												x																																																																																																					
382	Jaguar Ultra	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + 2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/jaguar-ultra-s_11098.html	5720	60,9 + 481,93	50 + 400	Concentrado Solúvel (SL)																																												x																																																																																																					
383	Jornada	Dow Agrosciences Industrial Ltda. - Sao Paulo	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/jornada_10074.html	7914	114,76 + 447,22		Concentrado Solúvel (SL)																	x																																																																																																																																
384	Jump	Adama Brasil S.A. - Londrina	diurom (ureia) + hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/jump_8012.html	8808	533 + 67		Granulado Dispersível (WG)																																								x																																																																																																									
385	Kabuki	Nichino do Brasil Agroquimicos Ltda.	piraflufem (Fenilpirazol)	https://www.agrolink.com.br/agrolinkfito/produto/kabuki_7139.html	8004	25		Concentrado Emulsionável (EC)										x													x																																																x																																																																										
386	Kamex 900 WG	Adama Brasil S.A. - Londrina	diurom (ureia) + diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/kamex-900-wg_7432.html	8907	900		Granulado Dispersível (WG)										x				x																										x												x																																																																																													
387	Kaner 800 WG	Cropchem Ltda	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/kaner-800-wg_10921.html	20519	800		Granulado Dispersível (WG)														x																										x		x									x																																																																																														
388	Kaptron	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/kaptron_11089.html	4820	59,17 + 144,09 + 115,74	50 + 100 + 100	Emulsão Óleo em Água (EW)																																												x																																																																																																					
389	Karmex	Adama Brasil S.A. - Londrina	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/karmex_8995.html	1198902	800		Granulado Dispersível (WG)										x				x																										x											x	x																																																																																													
390	Karmex 800	Adama Brasil S.A. - Londrina	diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/karmex-800_7581.html	408303	800		Granulado Dispersível (WG)										x				x																										x											x	x																																																														x																															
391	Katana	ISK Biosciences do Brasil Defensivos Agricolas Ltda	flazasulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/katana_3010.html	297	250		Granulado Dispersível (WG)														x																										x																									x																																																																																
392	Kelion 50 WG	Nichino do Brasil Agroquimicos Ltda.	orthosulfamuron (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/kelion-50-wg_8527.html	2511	500		Granulado Dispersível (WG)																		x																																																																																																																															
393	Keltor	Basf S.A. – Sao Paulo	saflufenacil (pirimidinadiona)	https://www.agrolink.com.br/agrolinkfito/produto/keltor_10804.html	40718	700		Granulado Dispersível (WG)	x				x					x						x		x					x																	x																							x								x																																																	x																									
394	Kennox	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona) + haloxifope-P-metilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/kennox_10720.html	24518	240 + 123,6	120	Concentrado Emulsionável (EC)	x									x																																																																																																																																							
395	Kick-Off 480 SL	AllierBrasil Agro Ltda.	glifosato-sal de isopropilamina (glicina substituida)	http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons	15717	480	360	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x								x					x		x								x																																		x	x	x	x			x	x						x																															
396	Kicker	Sipcam Nichino Brasil S.A. - Uberaba/MG	sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/kicker_10365.html	11217	500		Suspensão Concentrada (SC)	x													x																										x											x	x																															x																																																														
397	Kicker Sup	Sipcam Nichino Brasil S.A. - Uberaba/MG	sulfentrazona (triazolona)	https://www.agrolink.com.br/agrolinkfito/produto/kicker-sup_10378.html	11017	500		Suspensão Concentrada (SC)	x													x																										x											x	x																															x																																																														
398	Kifix	Basf S.A. – Sao Paulo	imazapique (imidazolinona) + imazapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/kifix_7332.html	7907	175 + 525		Granulado Dispersível (WG)																		x																										x																																																																																																					
399	Kraken 240 EC	Cropchem Ltda	cletodim (oxima ciclohexanodiona)	https://www.agrolink.com.br/agrolinkfito/produto/kraken-240-ec_10603.html	7518	240		Concentrado Emulsionável (EC)	x				x					x				x		x							x																			x																							x	x		x	x		x												x																							x																																							
400	Krismat WG	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	Ametrina (triazina) + trifloxissulfurom-sodico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/krismat-wg_8173.html	8908	731,5 + 18,5		Granulado Dispersível (WG)																																			x					x																																																																																																									
401	Kroll	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona) + quizalofope-P-etilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/kroll_10638.html	12718	240 + 120		Concentrado Emulsionável (EC)	x									x																																																							x																																																																																
402	Kromo 250 WG	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	clorimurom-etilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/kromo-250-wg_7887.html	4208	250		Granulado Dispersível (WG)	x													x																																						x					x		x																																																																																						
403	Krost 806 SL	Cropchem Ltda	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/krost-806-sl_10505.html	30417	806	670	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x																																																																																																					
404	Krost 970 WG	Cropchem Ltda	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/krost-970-wg_10573.html	2318	970	800	Granulado Dispersível (WG)	x				x									x				x																						x				x																																																																																																					
405	Krovar	AMVAC do Brasil Representações Ltda.	bromacila (Uracila) + diurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/krovar_4043.html	938900	400 + 400		Granulado Dispersível (WG)																																																			x	x																																																																																													
406	Krugar 250 SL	Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.	fomesafem (eteretilica)	https://www.agrolink.com.br/agrolinkfito/produto/krugar-250-sl_11103.html	6220	250		Concentrado Solúvel (SL)	x																						x																																																																																																																										
407	Kyron 40 SC	Cropchem Ltda	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/kyron-40-sc_8908.html	10013	40		Suspensão Concentrada (SC)					x																																																																																																																																												
408	Kyron 750 WG	Cropchem Ltda	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/kyron-750-wg_10422.html	19517	750		Granulado Dispersível (WG)	x				x																																																																																																																																												
409	Labrador	Helm do Brasil Mercantil Ltda	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/labrador_8570.html	4411	64 + 240		Concentrado Solúvel (SL)																	x																																																																																																																																
410	Lactofen AGP 240 EC	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	lactofem (eteretilica)	https://www.agrolink.com.br/agrolinkfito/produto/lactofen-agp-240-ec_7449.html	10907	240		Concentrado Emulsionável (EC)	x																																																																																																																																																
411	Lamper 480 SC	Cropchem Ltda	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/lamper-480-sc_10770.html	33618	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
412	Lava	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	tebutiurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/lava_8035.html	14208	500		Suspensão Concentrada (SC)																																								x																																																																																																									
413	Lava 100	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	tebutiurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/lava-100_7801.html	708	100		Granulado (GR)																																												x																																																																																																					
414	Lava 800	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	tebutiurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/lava-800_7334.html	12807	800		Granulado Dispersível (WG)																																								x																																																																																																									
415	Lavra	BRA Defensivos Agricolas Ltda. (Piracicaba)	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/lavra_10675.html	16718	103 + 406	64 + 240	Concentrado Solúvel (SL)																																												x													x																																																																																								
416	Leale SC	Sumitomo Chemical do Brasil Representações Ltda.	Ametrina (triazina) + flumioxazina (ciclohexenodicarboximida)	https://www.agrolink.com.br/agrolinkfito/produto/leale-sc_8976.html	1714	480 + 40		Suspensão Concentrada (SC)																																								x																																																																																																									
417	Leopard	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/leopard_7929.html	5808	240		Concentrado Solúvel (SL)																																												x																																																																																																					
418	Liberty	Basf S.A. – Sao Paulo	Glufosinato - sal de amônio (homoalanina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/liberty_8290.html	5409	200		Concentrado Solúvel (SL)			x			x			x																																																																											x																																																													
419	Lifter	Dow Agrosciences Industrial Ltda. - Sao Paulo	glifosato (glicina substituida) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/lifter_10515.html	31517	259,66 + 285,92	205 + 195	Concentrado Solúvel (SL)	x				x																																																																																																																																												
420	Limpa	BRA Defensivos Agricolas Ltda. (Piracicaba)	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/limpa_11069.html	2820	900		Granulado Dispersível (WG)					x						x																													x																																																																																																									
421	Limpidu	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/limpidu_8707.html	10512	40		Suspensão Concentrada (SC)					x																																																																																																																																												
422	Linurex Agricur 500 WP	Adama Brasil S.A. - Londrina	linurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/linurex-agricur-500-wp_7585.html	2168205	500		Pó molhável (WP)																																																																		x		x	x		x																																																																										
423	Livra	Dow Agrosciences Industrial Ltda. - Sao Paulo	Aminopiralide (Acido piridiniloxialcanoico) + Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons	5020	59,17 + 144,09 + 115,74	50 + 100 + 100	Emulsão óleo em água (EW)																																												x																																																																																																					
424	Loop	FMC Química do Brasil Ltda. - Campinas	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/loop_8412.html	3810	240		Suspensão Concentrada (SC)					x																																																																																																																																												
425	Lord	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona)	https://www.agrolink.com.br/agrolinkfito/produto/lord_8464.html	6610	240		Concentrado Emulsionável (EC)	x									x				x									x																			x																							x	x		x	x		x												x																							x																																							
426	Loyant	Dow Agrosciences Industrial Ltda. - Sao Paulo	Florpirauxifen-benzil (Arilpicolinato)	https://www.agrolink.com.br/agrolinkfito/produto/loyant_10949.html	25219	25		Concentrado Emulsionável (EC)																		x																																																																																																																															
427	Lucens	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	metolacloro (cloroacetanilida)	https://www.agrolink.com.br/agrolinkfito/produto/lucens_8766.html	1513	353,8		Emulsão Óleo em Água (EW)	x		x	x																																																																																																																																													
428	Lumica	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/lumica_8736.html	12512	480		Suspensão Concentrada (SC)																																								x																																																																																																									
429	Mademato	Industria Quimica Dipil Ltda	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/mademato_7153.html	11006	480		Concentrado Solúvel (SL)				x			x	x						x								x			x															x												x					x																																													x	x																																										
430	Madison	Nortox S.A. - Arapongas	Mesotriona (Tricetona)	http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons	170215	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
431	Magister	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/magister_8009.html	6208	500		Concentrado Emulsionável (EC)	x									x											x																			x																																																																																																									
432	Magneto SC	Iharabras S.A. Indústria Químicas - Sorocaba	amicarbazona (triazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/magneto-sc_10928.html	21319	500		Suspensão Concentrada (SC)																																								x																																																																																																									
433	MagnusBR	Ouro Fino Química S.A. - Uberaba	hexazinona (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/magnusbr_8427.html	3610	800		Pó molhável (WP)																																				x				x																																																																																																									
434	Mannejo	Dow Agrosciences Industrial Ltda. - Sao Paulo	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/mannejo_227.html	6398	40 + 120	40 + 120	Concentrado Solúvel (SL)																																												x																																																																																																					
435	Marte WG	BRA Defensivos Agricolas Ltda. (Piracicaba)	diurom (ureia) + hexazinona (triazinona)	https://bra-agroquimica.com.br/produtos/herbicidas/marte-wg/	21017	468 + 132		Granulado Dispersível (WG)																																								x																																																																																																									
436	Mattor	Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu	Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/mattor_10938.html	22319	115,2 + 143,4	80 + 80	Microemulsão (ME)																																												x																																																																																																					
437	Maxizato	Agro Import do Brasil Ltda.	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/maxizato_10792.html	36518	792,5	720	Granulado Dispersível (WG)	x				x					x				x		x		x																						x				x								x															x																																		x	x	x	x			x	x						x																															
438	MegaBR	Ouro Fino Química S.A. - Uberaba	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/megabr_10056.html	7714	500		Suspensão Concentrada (SC)														x																						x				x																																																																																																									
439	MegaBR Duo	Ouro Fino Química S.A. - Uberaba	Ametrina (triazina) + clomazona (isoxazolidinona)	https://www.agrolink.com.br/agrolinkfito/produto/megabr-duo_10328.html	4717	300 + 200		Concentrado Emulsionável (EC)																																								x																																																																																																									
440	Meristo	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/meristo_8722.html	13012	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
441	Meson 480 SC	Cropchem Ltda	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/meson-480-sc_10545.html	38917	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
442	Mesopec	Tradecorp do Brasil Comércio de insumos Agricolas Ltda	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/mesopec_11048.html	820	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
443	Mesotriona Cana Nortox	Nortox S.A. - Arapongas	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/mesotriona-cana-nortox_10969.html	28919	480		Suspensão Concentrada (SC)																																								x																																																																																																									
444	Mesotriona CCAB 480 SC	CCAB Agro S.A. – Sao Paulo	Mesotriona (Tricetona)	http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons	23917	480		Suspensão Concentrada (SC)					x																																			x																																																					x																																																				
445	Mesotriona Nortox	Nortox S.A. - Arapongas	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/mesotriona-nortox_10407.html	17517	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
446	Mesotrione 480 SC Proventis	Proventis Lifescience Defensivos Agricolas Ltda	Mesotriona (Tricetona)	https://www.agrolink.com.br/agrolinkfito/produto/mesotrione-480-sc-proventis_10466.html	26017	480		Suspensão Concentrada (SC)					x																																			x																																																																																																									
447	Metagan	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	metolacloro (cloroacetanilida)	https://www.agrolink.com.br/agrolinkfito/produto/metagan_10766.html	32118	960		Concentrado Emulsionável (EC)	x				x					x													x																	x																																																																																																									
448	Metiz	Agro Import do Brasil Ltda.	metribuzim (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/metiz_8970.html	4114	480		Suspensão Concentrada (SC)	x																																							x																									x						x																																																																										
449	Metribuzin Tide 480 SC	Tide do Brasil Ltda.	metribuzim (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/metribuzin-tide-480-sc_10130.html	9415	480		Suspensão Concentrada (SC)	x													x		x																								x		x																							x						x																																																																										
450	Metrimex	Oxon Brasil Defensivos Agricolas Ltda.	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/metrimex_8188.html	2598006	800		Pó molhável (WP)																																								x																																																																																																									
451	Metrimex 500 SC	Oxon Brasil Defensivos Agricolas Ltda.	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/metrimex-500-sc_3024.html	1558106	500		Suspensão Concentrada (SC)																																								x																																																																																																									
452	Metry	Tradecorp do Brasil Comércio de insumos Agricolas Ltda	metribuzim (triazinona)	https://www.agrolink.com.br/agrolinkfito/produto/metry_10634.html	12218	480		Suspensão Concentrada (SC)																																								x																															x																																																																										
453	Metsuram 600 WG	Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.	metsulfurom-metilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/metsuram-600-wg_8613.html	14711	600		Granulado Dispersível (WG)														x		x		x																						x				x																																																																																																					
454	Mirant	Iharabras S.A. Indústria Químicas - Sorocaba	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/mirant_8089.html	6908	806	670	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x																																																																																																					
455	Mirato	Syngenta Proteção de Cultivos Ltda. – Sao Paulo	2,4-D-dimetilamina (acido ariloxialcanoico)	http://agrofit.agricultura.gov.br/agrofit_cons/principal_agrofit_cons	1819	806	670	Concentrado Solúvel (SL)				x	x									x		x		x																						x				x																																																																																																					
456	Missil	Dow Agrosciences Industrial Ltda. - Sao Paulo	haloxifope-P-metilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/missil_10577.html	2718	540	520	Concentrado Emulsionável (EC)																																																									x		x		x																																																																																				
457	Miura EC	Avgust Crop Protection Importação e Exportação Ltda.	quizalofope-P-etilico (Acido ariloxifenoxipropionico)	https://www.agrolink.com.br/agrolinkfito/produto/miura-ec_10776.html	34218	125		Concentrado Emulsionável (EC)	x									x													x																																										x																																																																																
458	Mojjave	Ouro Fino Química S.A. - Uberaba	glifosato-sal de isopropilamina (glicina substituida) + glifosato-sal de potássio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/mojjave_10825.html	43618	396,5 + 295,1	540	Concentrado Solúvel (SL)	x				x					x				x		x		x					x																	x				x								x					x		x																																											x	x																																										
459	Montana 480	Tradecorp do Brasil Comércio de insumos Agricolas Ltda	glifosato-sal de isopropilamina (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/montana-480_11003.html	38219	480	360	Concentrado Solúvel (SL)	x				x									x		x		x																						x												x					x		x																																																																																						
460	Most	Oxon Brasil Defensivos Agricolas Ltda.	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/most_7736.html	18907	400		Suspensão Concentrada (SC)					x																																																																																																																																												
461	MourãoBR	Ouro Fino Química S.A. - Uberaba	glifosato-sal de isopropilamina (glicina substituida) + glifosato-sal de potássio (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/mouraobr_10791.html	36418	396,5 + 295,1	540	Concentrado Solúvel (SL)	x				x					x				x		x		x																						x				x								x					x		x																																											x	x																																										
462	MSMA 720	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	MSMA (organoarsenico)	https://www.agrolink.com.br/agrolinkfito/produto/msma-720_7936.html	6108	720		Concentrado Solúvel (SL)										x																														x																																																																																																									
463	Naja	Adama Brasil S.A. - Londrina	lactofem (eteretilica)	https://www.agrolink.com.br/agrolinkfito/produto/naja_3623.html	2001	240		Concentrado Emulsionável (EC)	x																																																																																																																																																
464	Narval 40 SC	Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/narval-40-sc_8771.html	2013	40		Suspensão Concentrada (SC)					x																																																																																																																																												
