id_herb	produto_comercial	empresa	ingrediente	link	registro	dose_(g/L)_(g/kg)	equivalente_acido	Formulacao	soja	soja_dessecação	soja_omg	soja_spd	milho	milho_ogm	milho_spd	algodão_spd	algodão_ogm	algodão	sorgo	algodão_ogm	café_spd	café	trigo_spd	trigo	gramíneas_forrageiras	arroz	arroz_sequeiro	arroz_irrig_spd	arroz_irrigado	arroz_spd	feijão	aveia_preta	Feijão_spd	feijão_vagem	feijão_fava	feijão_guandu	feijão_mungo	feijão_caupi	grão_de_bico	azevém	aveia	lentilha	cana_spd	cana_soca	cana_maturação	Cana_dessecação	cana_roughing	cana	aveia_preta	mandioca	pastagem_spd	pastagem	vazio_sanitário	manejo_outonal	amendoim	centeio	cevada	canola	abacaxi	citros	citros_spd	melão	eucalipto_implantação_da_flores	Eucalipto_Rebrote	eucalipto	pinus_implantação_da_flores	pinus	seringueira	acácia_negra	estrelicia	girassol	quiabo	tomate	alho	banana	cebola	cenoura	batata_dessecação	batata	alface	repolho	jiló	pimenta	pimentão	brocolis	couve-flor	beterraba	batata-doce	berinjela	batata-salsa	fumo	morango	camomila	gengibre	batata_yacon	alfafa	salsa	coentro	braquiaria	aveia	milheto	inhame	ervilha	sorgo	caju	goiaba	manga	mangaba	pera	uva	maçã	ameixa	mamão	melancia	pessego	nectarina	dendê	duboisia	triticale	crisântemo	centeio	cacau	não_agrícola	seringueira	escarola	sisal	côco	momona	caqui	açaí	cará	nabo	mandioquinha-salsa	carambola	rabanete	figo	castanha_do_pará	macadâmia	pinhão	noz_pecã	pupunha	gladíolo	vagem	área_de_pousio	área_não_cultivada	abacate	gramados	espinafre	manejo_outonal	rosa	todas_as_culturas_com_ocorrência_do_alvo_biológico	tabaco	tratamento_do_solo
32	Alia	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	sulfentrazona (triazolona)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/alia050418.pdf	12917	500		Suspensão Concentrada (SC)	x																																							x											x																																x																																																														
33	Alion	Bayer S.A. - Sao Paulo/ SP	indaziflam ( Alquilazina)	https://www.agrolink.com.br/agrolinkfito/produto/alion_10205.html	3116	500		Suspensão Concentrada (SC)														x																										x												x																																													x	x	x			x	x						x										x																										
34	Alion Pro	Bayer S.A. - Sao Paulo/ SP	indaziflam ( Alquilazina) + metribuzim (triazinona)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/ALIONPRO.pdf	21016	37,5 + 480		Suspensão Concentrada (SC)																																								x																																																																																																									
35	Ally	FMC Química do Brasil Ltda. - Campinas	metsulfurom-metilico (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/ally_2996.html	2492	600		Granulado Dispersível (WG)														x		x		x															x							x	x			x					x																																																														x																																		
36	Amaiz	Pilarquim Br Comercial Ltda.- Sao Paulo	nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/amaiz_10318.html	22016	750		Granulado Dispersível (WG)					x																																																																																																																																												
37	Ameris	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	tebutiurom (ureia)	https://www.agrolink.com.br/agrolinkfito/produto/ameris_10144.html	5514	500		Suspensão Concentrada (SC)																																								x																																																																																																									
38	Ametrex 500 SC	Adama Brasil S.A. - Londrina	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/ametrex-500-sc_6044.html	2096	500		Suspensão Concentrada (SC)																																								x																																																																																																									
39	Ametrex WG	Adama Brasil S.A. - Londrina	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/ametrex-wg_8016.html	16308	800		Granulado Dispersível (WG)																																								x		x									x																																																																																														
40	Ametrina 500 SC Rainbow	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Ametrina (triazina)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/ametrina_500_SC_RAINBOW_110719.pdf	16318	500		Suspensão Concentrada (SC)																																								x																																																																																																									
41	Ametrina Alta 500 SC	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/ametrina-alta-500-sc_10012.html	11514	500		Suspensão Concentrada (SC)																																								x																																																																																																									
42	Ametrina Atanor 50 SC	Albaugh Agro Brasil Ltda.- Sao Paulo	Ametrina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/ametrina-atanor-50-sc_5712.html	7203	500		Suspensão Concentrada (SC)																																								x																																																																																																									
43	Aminol 806	Adama Brasil S.A. - Londrina	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/aminol-806_1.html	195	806		Concentrado Solúvel (SL)	x				x									x		x		x																						x				x																																																																																																					
44	Amplexus	Basf S.A. – Sao Paulo	imazapique (imidazolinona) + imazapir (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/amplexus_2946.html	8298	525 + 175		Granulado Dispersível (WG)	x				x																																																																																																																																												
45	Amplo	Basf S.A. – Sao Paulo	bentazona (benzotiadiazinona) + imazamoxi (imidazolinona)	https://www.agrolink.com.br/agrolinkfito/produto/amplo_7799.html	508	600 + 28		Concentrado Solúvel (SL)																		x					x																								x																																																																																																		
46	Ancosar 720	Sipcam Nichino Brasil S.A. - Uberaba/MG	MSMA (organoarsenico)	https://www.agrolink.com.br/agrolinkfito/produto/ancosar-720_7077.html	3705	720		Concentrado Solúvel (SL)										x																														x												x																																																																																													
47	Aramo 200	Basf S.A. – Sao Paulo	tepraloxidim (oxima ciclohexanodiona)	http://www.adapar.pr.gov.br/arquivos/File/defis/DFI/Bulas/Herbicidas/aramo200160218.pdf	2200	200		Concentrado Emulsionável (EC)	x									x													x																																																																																																																										
48	Arena	Stockton Agrimor do Brasil Ltda.	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/arena_7698.html	16407	114 + 447		Concentrado Solúvel (SL)																																												x																																																																																																					
49	Arrange	Dow Agrosciences Industrial Ltda. - Sao Paulo	Glifosato Sal de Dimetilamina (glicina substituida) + 2,4-D Sal de Colina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/arrange_10514.html	31417	285,92 + 259,66		Concentrado Solúvel (SL)	x				x																																																																																																																																												
50	Arreio	Adama Brasil S.A. - Londrina	Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/arreio_10129.html	5515	115 + 129,42		Microemulsão (ME)																																												x																																																																																																					
51	Arreio Pasto	Adama Brasil S.A. - Londrina	Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico)	https://www.agrolink.com.br/agrolinkfito/produto/arreio-pasto_10085.html	3815	115 + 129,42		Microemulsão (ME)																																								x				x																																																																																																					
52	Arrow	Nortox S.A. - Arapongas	trifluralina (dinitroanilina)	https://www.agrolink.com.br/agrolinkfito/produto/arrow_7389.html	11707	450		Concentrado Emulsionável (EC)	x			x	x		x			x								x				x			x															x																																																																																																									
53	Artys	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/artys_8082.html	13408	76 + 289		Concentrado Solúvel (SL)																																								x				x																																																																																																					
54	Artys BR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/artys-br_8283.html	13308	76 + 289		Concentrado Solúvel (SL)																																								x				x																																																																																																					
55	Astral	Prentiss Química Ltda. - Campo Largo/PR	glifosato (glicina substituida)	https://www.agrolink.com.br/agrolinkfito/produto/astral_10238.html	4016	480	360	Concentrado Solúvel (SL)																																																																																																								x																																									
56	Asulox 400	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Asulam (sulfanililcarbamato)	https://www.agrolink.com.br/agrolinkfito/produto/asulox-400_8083.html	178704	400		Concentrado Solúvel (SL)																																								x																																																																																																									
57	Atectra	Basf S.A. – Sao Paulo	Dicamba (Acido Benzóico)	https://www.agrolink.com.br/agrolinkfito/produto/atectra_10225.html	4916	480		Concentrado Solúvel (SL)	x									x																																																																																																																																							
58	Atraer WG	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atraer-wg_10329.html	5017	900		Granulado Dispersível (WG)					x						x																													x																																																																																																									
59	Atralhida	Rainbow Defensivos Agricolas Ltda.- Porto Alegre	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atralhida_10332.html	5117	900		Granulado Dispersível (WG)					x																																			x																																																								x																																																	
60	Atranex 500 SC	Adama Brasil S.A. - Londrina	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atranex-500-sc_6026.html	1695	500		Suspensão Concentrada (SC)					x																																																																																																																																												
61	Atranex WG	Adama Brasil S.A. - Londrina	Atrazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atranex-wg_7395.html	9007	900		Granulado Dispersível (WG)					x																																																																																											x																																																	
62	Atrasimex 500 SC	Adama Brasil S.A. - Londrina	Atrazina (triazina) + simazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrasimex-500-sc_7490.html	2396	250 + 250		Suspensão Concentrada (SC)					x																																																																																																																																												
63	Atrasimex WG	Adama Brasil S.A. - Londrina	Atrazina (triazina) + simazina (triazina)	https://www.agrolink.com.br/agrolinkfito/produto/atrasimex-wg_7398.html	9607	450 + 450		Granulado Dispersível (WG)					x																																																																																																																																												
64	Atrazina + Nicosulfuron Nortox WG	Nortox S.A. - Arapongas	Atrazina (triazina) + nicossulfurom (sulfonilurea)	https://www.agrolink.com.br/agrolinkfito/produto/atrazina---nicosulfuron-nortox-wg_10810.html	41318	16 + 750		Granulado Dispersível (WG)					x																																																																																																																																												
