id_herb,produto_comercial,empresa,ingrediente,link,registro,dose_(g/L)_(g/kg),equivalente_acido,Formulacao,culturas,bula,form_sigla,form_tipo,dose_gkg,dose_gL,ia_1,ia_2,ia_3,dose_gkg_ia_1
385,Kabuki,Nichino do Brasil Agroquimicos Ltda.,piraflufem (Fenilpirazol),https://www.agrolink.com.br/agrolinkfito/produto/kabuki_7139.html,8004,25,NA,concentrado emulsionável (ec),feijão,x,ec,líquido,NA,25,piraflufem ,,,NA
385,Kabuki,Nichino do Brasil Agroquimicos Ltda.,piraflufem (Fenilpirazol),https://www.agrolink.com.br/agrolinkfito/produto/kabuki_7139.html,8004,25,NA,concentrado emulsionável (ec),batata,x,ec,líquido,NA,25,piraflufem ,,,NA
386,Kamex 900 WG,Adama Brasil S.A. - Londrina,diurom (ureia) + diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/kamex-900-wg_7432.html,8907,900,NA,granulado dispersível (wg),algodão,x,wg,seco,900,NA,diurom ,diurom ,,900
386,Kamex 900 WG,Adama Brasil S.A. - Londrina,diurom (ureia) + diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/kamex-900-wg_7432.html,8907,900,NA,granulado dispersível (wg),café,x,wg,seco,900,NA,diurom ,diurom ,,900
386,Kamex 900 WG,Adama Brasil S.A. - Londrina,diurom (ureia) + diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/kamex-900-wg_7432.html,8907,900,NA,granulado dispersível (wg),cana,x,wg,seco,900,NA,diurom ,diurom ,,900
386,Kamex 900 WG,Adama Brasil S.A. - Londrina,diurom (ureia) + diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/kamex-900-wg_7432.html,8907,900,NA,granulado dispersível (wg),citros,x,wg,seco,900,NA,diurom ,diurom ,,900
387,Kaner 800 WG,Cropchem Ltda,Ametrina (triazina),https://www.agrolink.com.br/agrolinkfito/produto/kaner-800-wg_10921.html,20519,800,NA,granulado dispersível (wg),café,x,wg,seco,800,NA,Ametrina ,,,800
387,Kaner 800 WG,Cropchem Ltda,Ametrina (triazina),https://www.agrolink.com.br/agrolinkfito/produto/kaner-800-wg_10921.html,20519,800,NA,granulado dispersível (wg),cana,x,wg,seco,800,NA,Ametrina ,,,800
387,Kaner 800 WG,Cropchem Ltda,Ametrina (triazina),https://www.agrolink.com.br/agrolinkfito/produto/kaner-800-wg_10921.html,20519,800,NA,granulado dispersível (wg),mandioca,x,wg,seco,800,NA,Ametrina ,,,800
387,Kaner 800 WG,Cropchem Ltda,Ametrina (triazina),https://www.agrolink.com.br/agrolinkfito/produto/kaner-800-wg_10921.html,20519,800,NA,granulado dispersível (wg),abacaxi,x,wg,seco,800,NA,Ametrina ,,,800
388,Kaptron,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) + Fluroxipir-meptilico (Acido piridiniloxialcanoico) + picloram (acido piridinocarboxilico),https://www.agrolink.com.br/agrolinkfito/produto/kaptron_11089.html,4820,59.17 + 144.09 + 115.74,50 + 100 + 100,emulsão óleo em água (ew),pastagem,x,ew,líquido,NA,59.17 + 144.09 + 115.74,Aminopiralide ,Fluroxipir-meptilico ,picloram ,NA
389,Karmex,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex_8995.html,1198902,800,NA,granulado dispersível (wg),algodão,x,wg,seco,800,NA,diurom ,,,800
389,Karmex,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex_8995.html,1198902,800,NA,granulado dispersível (wg),café,x,wg,seco,800,NA,diurom ,,,800
389,Karmex,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex_8995.html,1198902,800,NA,granulado dispersível (wg),cana,x,wg,seco,800,NA,diurom ,,,800
389,Karmex,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex_8995.html,1198902,800,NA,granulado dispersível (wg),abacaxi,x,wg,seco,800,NA,diurom ,,,800
389,Karmex,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex_8995.html,1198902,800,NA,granulado dispersível (wg),citros,x,wg,seco,800,NA,diurom ,,,800
390,Karmex 800,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex-800_7581.html,408303,800,NA,granulado dispersível (wg),algodão,x,wg,seco,800,NA,diurom ,,,800
390,Karmex 800,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex-800_7581.html,408303,800,NA,granulado dispersível (wg),café,x,wg,seco,800,NA,diurom ,,,800
390,Karmex 800,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex-800_7581.html,408303,800,NA,granulado dispersível (wg),cana,x,wg,seco,800,NA,diurom ,,,800
390,Karmex 800,Adama Brasil S.A. - Londrina,diurom (ureia),https://www.agrolink.com.br/agrolinkfito/produto/karmex-800_7581.html,408303,800,NA,granulado dispersível (wg),abacaxi,x,wg,seco,800,NA,diurom ,,,800
